"","AÃ‘O","TRIMESTRES","TRM"
"1",2005,1,2352.38683333333
"2",2005,2,2340.35758064516
"3",2005,3,2307.2980952381
"4",2005,4,2283.68166666667
"5",2006,1,2264.18396825397
"6",2006,2,2434.57372881356
"7",2006,3,2430.85327868852
"8",2006,4,2308.23372881356
"9",2007,1,2221.93387096774
"10",2007,2,2024.83016949153
"11",2007,3,2042.3337704918
"12",2007,4,2021.23754098361
"13",2008,1,1913.42433333333
"14",2008,2,1763.83716666667
"15",2008,3,1898.5228125
"16",2008,4,2289.1665
"17",2009,1,2415.67147540984
"18",2009,2,2235.63931034483
"19",2009,3,2017.40063492063
"20",2009,4,1963.56416666667
"21",2010,1,1942.51016949153
"22",2010,2,1950.20333333333
"23",2010,3,1831.96555555556
"24",2010,4,1867.17262295082
"25",2011,1,1878.08483870968
"26",2011,2,1798.84524590164
"27",2011,3,1795.8626984127
"28",2011,4,1920.74616666667
"29",2012,1,1800.67174603175
"30",2012,2,1787.20627118644
"31",2012,3,1798.12262295082
"32",2012,4,1806.97868852459
"33",2013,1,1789.45457627119
"34",2013,2,1860.36983606557
"35",2013,3,1907.83222222222
"36",2013,4,1913.10836065574
"37",2014,1,2006.92754098361
"38",2014,2,1915.18050847458
"39",2014,3,1909.29796875
"40",2014,4,2169.35716666667
"41",2015,1,2470.15704918033
"42",2015,2,2496.445
"43",2015,3,2938.93507936508
"44",2015,4,3060.27883333333
"45",2016,1,3263.48783333333
"46",2016,2,2992.9985483871
"47",2016,3,2948.96841269841
"48",2016,4,3016.32416666667
"49",2017,1,2924.2553968254
"50",2017,2,2920.25423728814
"51",2017,3,2974.58721311475
"52",2017,4,2985.97661016949
"53",2018,1,2860.301
"54",2018,2,2838.99114754098
"55",2018,3,2960.9531147541
"56",2018,4,3159.55754098361
"57",2019,1,3134.58786885246
"58",2019,2,3242.39183333333
"59",2019,3,3336.87920634921
"60",2019,4,3413.32590163934
"61",2020,1,3533.86693548387
"62",2020,2,3850.03
"63",2020,3,3730.22095238095
"64",2020,4,3663.885
"65",2021,1,3557.68491803279
"66",2021,2,3695.6055
"67",2021,3,3846.54523809524
"68",2021,4,3881.20426229508
